;39.570.897/0001-24;SOUL CROSSFITEIRO LTDA;;RUA;ROBERTO FERREIRA DA SILVA;BULTRINS;OLINDA;PE;81997983543;;soulcrossfiteiro@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4763602,478;Matriz com 0 Filiais;;ATIVA;26/10/2020;Sociedade Empres ria Limitada;26/10/2020;N;26/10/2020;31/12/2023;NAO;EMPRESA DE PEQUENO PORTE;SIMPLES NACIONAL;26/10/2020;00/00/0000;R$ 20.000,00;PF-PF-;AARON GOMES BATISTA DA SILVA-RODRIGO LIMA SANTOS-
;59.765.416/0001-43;O ARABE LTDA;DON MODAS;RUA;DA FONTE GRANDE;MORRO DE SAO PAULO;CAIRU;BA;75999158200;71999597533;abdon.che11@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4712100,4723700,5022001,7711000,7721700,7912100,8230001,8599604;Matriz com 0 Filiais;;ATIVA;06/03/2025;Sociedade Empres ria Limitada;06/03/2025;N;00/00/0000;00/00/0000;NAO;MICRO EMPRESA;SIMPLES NACIONAL;06/03/2025;00/00/0000;R$ 80.000,00;PF-;ABDON ALANLEID SILVA CHE FILHO-
;62.543.904/0001-10;A.A RELOJOARIA LTDA;FORTWATCHS;AVENIDA;DOM LUIS;ALDEOTA;FORTALEZA;CE;85982223570;0;fortwatchsss@gmail.com;;4783102;Com‚rcio varejista de artigos de relojoaria;4783101,7490104,9529103;Matriz com 0 Filiais;;ATIVA;03/09/2025;Sociedade Empres ria Limitada;03/09/2025;N;00/00/0000;00/00/0000;NAO;MICRO EMPRESA;SIMPLES NACIONAL;03/09/2025;00/00/0000;R$ 150.000,00;PF-;ABDON ALBUQUERQUE CAVALCANTE NETO-
;57.406.503/0001-89;LOJA MIRIAN LTDA;LOJA MIRIAN;RUA;COELHO NETO;CENTRO;ITAPECURU MIRIM;MA;98984668828;;abvarejo2@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4763602,478;Matriz com 0 Filiais;;ATIVA;24/09/2024;Sociedade Empres ria Limitada;24/09/2024;N;24/09/2024;31/12/2024;NAO;MICRO EMPRESA;SIMPLES NACIONAL;24/09/2024;00/00/0000;R$ 20.000,00;PF-;ABGAIL ARAUJO SILVA MENDES-
;50.686.438/0001-43;OURO DO MAR ILHA LTDA;OURO DO MAR ILHA;AVENIDA;DANIEL DE LA TOUCHE;MARANHAO NOVO;SAO LUIS;MA;98988930110;;escritoriochillibeanssls@gmail.com;;4789001;Com‚rcio varejista de suvenires bijuterias e artesanatos;4783101;Matriz com 0 Filiais;;ATIVA;16/05/2023;Sociedade Empres ria Limitada;16/05/2023;N;00/00/0000;00/00/0000;NAO;MICRO EMPRESA;SIMPLES NACIONAL;16/05/2023;00/00/0000;R$ 10.000,00;PF-;ABIAS BARROS DA SILVA ALVES-
;62.861.359/0001-00;AURORA FASHION MODA FEMININA LTDA;;RUA;RAIMUNDO BESSA;NOVO MARANGUAPE I;MARANGUAPE;CE;85987226567;;abigailfreitasg@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;;Matriz com 0 Filiais;;ATIVA;23/09/2025;Sociedade Empres ria Limitada;23/09/2025;N;23/09/2025;31/10/2025;NAO;MICRO EMPRESA;SIMPLES NACIONAL;23/09/2025;00/00/0000;R$ 10.000,00;PF-;ABIGAIL FREITAS GONCALVES MARQUES-
;46.407.075/0001-92;ABIQUEILA ALINE DOS S DIAS LTDA;ABIQUEILA DIAS;AVENIDA;BELMIRO CORREIA;NOVO CARMELO;CAMARAGIBE;PE;81985459921;;abiqueiladiasdias1010@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4755503,4782202,4789001;Matriz com 0 Filiais;;ATIVA;16/05/2022;Sociedade Empres ria Limitada;16/05/2022;N;00/00/0000;00/00/0000;NAO;MICRO EMPRESA;SIMPLES NACIONAL;16/05/2022;00/00/0000;R$ 80.000,00;PF-;ABIQUEILA ALINE DOS SANTOS DIAS-
;52.993.604/0001-80;JR MULTIMARCAS ROUPA ESPORTIVAS LTDA;SUNSET;AVENIDA;BARRETO DE MENEZES;PIEDADE;JABOATAO DOS GUARARAPES;PE;81994271085;;abiquelia.vieira@hotmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;;Matriz com 0 Filiais;;ATIVA;24/11/2023;Sociedade Empres ria Limitada;24/11/2023;;//;//;NAO;MICRO EMPRESA;PRESUMIDO OU LUCRO REAL;//;//;R$ 100.000,00;PF-;ABIQUELIA VIEIRA DO NASCIMENTO-
;34.903.169/0002-54;A. A. MEDEIROS GUIMARAES OLIVEIRA LTDA;LA CHERI;RUA;12, APT.301-BL. A-PAV.COND. RES.CAMPO BELO II;JARDIM SAO CRISTOVAO II;SAO LUIS;MA;98984870327;;abisai.a.m.guimaraes@hotmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4772500,4782201,4782202,4783101,9529199;Filial;;ATIVA;26/05/2022;Sociedade Empres ria Limitada;26/05/2022;N;17/09/2019;31/12/2020;NAO;MICRO EMPRESA;PRESUMIDO OU LUCRO REAL;17/09/2019;31/12/2023;R$ 20.000,00;PF-;ABISAI ALVES MEDEIROS GUIMARAES OLIVEIRA-
;51.907.083/0001-38;LOJA DA FRAN LTDA;LOJA DA FRAN;RUA;SANTA FERNANDA;JATI?CA;MACEIO;AL;82996470803;0;fransilva544@gmail.com;;4781400;Com‚rcio varejista de artigos do vestu rio e acess¢rios;4782201,479;Matriz com 0 Filiais;;ATIVA;22/08/2023;Sociedade Empres ria Limitada;22/08/2023;N;00/00/0000;00/00/0000;NAO;MICRO EMPRESA;SIMPLES NACIONAL;22/08/2023;00/00/0000;R$ 5.000,00;PF-;ABNADABE FRANCIANE DA SILVA-
